baslik,yazar,ulke,konu,tur,yayim_yili,yayimci,sayfa_sayisi,isbn,ozet,kategori,detail_url
Gizli Yüz (senaryo),Orhan Pamuk,,,Senaryo,1992,Can Yayınları,,975-470-503-8,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Gizli_Y%C3%BCz_(senaryo)
Gizli Anların Yolcusu,Ayşe Kulin,Türkiye,,Roman,11 Kasım 2011,Everest,432,9789752899513,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Gizli_Anlar%C4%B1n_Yolcusu
Galîz Kahraman,İhsan Oktay Anar,Türkiye,,Fantastik kurgu,Ocak 2014,İletişim Yayınları,181,9789750514180,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Gal%C3%AEz_Kahraman
Filler Sultanı ile Kırmızı Sakallı Topal Karınca,Yaşar Kemal,Türkiye,,Çocuk romanı,1977,Adam Yayınları,,9789750806735,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Filler_Sultan%C4%B1_ile_K%C4%B1rm%C4%B1z%C4%B1_Sakall%C4%B1_Topal_Kar%C4%B1nca
Faili Meçhul Öfke,Adnan Gerger,Türkiye,,Roman,Kasım 2009,İmge Kitabevi Yayınları,440,9789755336367,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Faili_Me%C3%A7hul_%C3%96fke
Eşikte,Ali Teoman,Türkiye,,Roman,Mayıs 2008,Sel Yayıncılık,122,9789755703619,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/E%C5%9Fikte
Eroinle Dans,Canan Tan,,,Roman,2005 (1. Basım),Altın Kitaplar,,9789752106123,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Eroinle_Dans
En Son Yürekler Ölür,Canan Tan,,,Roman,2005 (1. Basım),Altın Kitaplar,,9786050931518,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/En_Son_Y%C3%BCrekler_%C3%96l%C3%BCr
Elveda Güzel Vatanım,Ahmet Ümit,Türkiye,1906-1926 yılları arasında İttihat ve Terakki Cemiyeti,Tarihsel Roman,Aralık 2015,Everest Yayınları,560,9786051419480,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Elveda_G%C3%BCzel_Vatan%C4%B1m
Efrâsiyâb'ın Hikâyeleri,İhsan Oktay Anar,Türkiye,,Fantastik kurgu,Şubat 1998,İletişim Yayınları,245,9789754706482,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Efr%C3%A2siy%C3%A2b%27%C4%B1n_Hik%C3%A2yeleri
Dün ve Ferda,Erendiz Atasü,Türkiye,,Roman,Kasım 2013,Can Yayınları,216,9789750719028,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/D%C3%BCn_ve_Ferda
Dört Mevsim Sonbahar,Ahmet Altan,Türkiye,,Roman,"1982, Mart 2013(Everest Yayınları 1. Basım)","Can Yayınları , Everest Yayınları",224,9786051416144,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/D%C3%B6rt_Mevsim_Sonbahar
Dördüncü Tekil Şahıs,,,,,,,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/D%C3%B6rd%C3%BCnc%C3%BC_Tekil_%C5%9Eah%C4%B1s
Devir,Ece Temelkuran,Türkiye,,Roman,2015,Can Yayınları,504,9789750724411,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Devir_(roman)
Deli Zamanlar,Sevinç Çokum,Türkiye,,Roman,2000,Kapı Yayınları,206,9786055107680,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Deli_Zamanlar
Çıplak Deniz Çıplak Ada,Yaşar Kemal,Türkiye,,Roman,4 Ekim 2012   ( 2012-10-04 ),Yapı Kredi Yayınları,272,9789750823596,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C3%87%C4%B1plak_Deniz_%C3%87%C4%B1plak_Ada
Çakırcalı Efe,Yaşar Kemal,Türkiye,,Destansı roman,1972,Ararat Yayınevi,,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/%C3%87ak%C4%B1rcal%C4%B1_Efe
Cumhuriyet - Türk Mucizesi,Turgut Özakman,Türkiye,Cumhuriyet'in kuruluşu.,Roman,2009,Bilgi Yayınevi,436,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Cumhuriyet_-_T%C3%BCrk_Mucizesi
Cevdet Bey ve Oğulları,Orhan Pamuk,,,Roman,1982,Yapı Kredi Yayınları,608,9789750826313,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Cevdet_Bey_ve_O%C4%9Fullar%C4%B1
Canistan,Yusuf Atılgan,Türkiye,,Roman,2000,Yapı Kredi Yayınları,78,9750802446,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Canistan
Boynu Bükük Öldüler,Yılmaz Güney,Türkiye,,Roman,,Güney Yayınları,407,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Boynu_B%C3%BCk%C3%BCk_%C3%96ld%C3%BCler
Bize Nasıl Kıydınız,Emine Şenlikoğlu,Türkiye,,Roman,2009,Mektup Yayınları,,9786059322010,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Bize_Nas%C4%B1l_K%C4%B1yd%C4%B1n%C4%B1z
Biz Kimden Kaçıyorduk Anne?,Perihan Mağden,Türkiye,Birey psikolojisi ve travma,Roman,Haziran 2007,Can Yayınları,183,975-07-0791-5,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Biz_Kimden_Ka%C3%A7%C4%B1yorduk_Anne%3F
Bit Palas,Elif Şafak,,,Roman,Mart 2002,Metis Yayınları,,975-342-354-3,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Bit_Palas
Bir Ses Böler Geceyi,Ahmet Ümit,,,Roman,1994,Doğan Kitap,,9789752897427,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Bir_Ses_B%C3%B6ler_Geceyi
"Bir Kedi, Bir Adam, Bir Ölüm",Zülfü Livaneli,Türkiye,,Roman,2001,,221,9751407958,,Çağdaş Türk romanları,"https://tr.wikipedia.org/wiki/Bir_Kedi,_Bir_Adam,_Bir_%C3%96l%C3%BCm"
Bir Garip Cindi Zümrüdüanka,Ali Teoman,Türkiye,,Roman,2005,Sel Yayıncılık,139,9755702393,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Bir_Garip_Cindi_Z%C3%BCmr%C3%BCd%C3%BCanka
Beyoğlu Rapsodisi,Ahmet Ümit,Türkiye,,Roman,Eylül 2003 [ 1 ],Doğan Kitap (eskiden) Everest Yayınları (eskiden) Yapı Kredi Yayınları (günümüzde),452,9789752897380,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Beyo%C4%9Flu_Rapsodisi
Beyaz Kale,Orhan Pamuk,,,Roman,1985 (ilk Baskı),,,978-975-08-2630-6,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Beyaz_Kale
Beşpeşe,,,,Roman,Haziran 2004,Metis Yayınları,,975-342-467-1,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Be%C5%9Fpe%C5%9Fe
Benim Adım Kırmızı,Orhan Pamuk,,,Roman,1998,İletişim Yayınları,,975-470-711-1,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Benim_Ad%C4%B1m_K%C4%B1rm%C4%B1z%C4%B1
Baba ve Piç,Elif Şafak,Türkiye,Drama,Roman,2006,Metis Yayınları,,975-342-553-8,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Baba_ve_Pi%C3%A7
Bab-ı Esrar,Ahmet Ümit,,,Roman,Kasım 2008 (İlk Baskı),Doğan Kitap,396,978-605-111-036-3,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Bab-%C4%B1_Esrar_(roman)
Aylaklar,Melih Cevdet Anday,Türkiye,,,1965,Remzi Kitabevi,,975-458-405-2,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Aylaklar_(roman)
Aylak Adam,Yusuf Atılgan,,,Roman,1959,Varlık Yayınları (ilk baskı),,9789750735646,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Aylak_Adam
Aşk,Elif Şafak,Türkiye,Zahiri ve ilahi aşk,Roman,Mart 2009,Doğan Kitap,420,975-342-297-0,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/A%C5%9Fk_(roman)
Araf,Elif Şafak,,,,,Metis Yayınları,352,975-342-465-5,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Araf_(roman)
Amat,İhsan Oktay Anar,Türkiye,,Fantastik kurgu,Ekim 2005,İletişim Yayınları,235,9789750503726,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Amat
Allah'ın Süngüleri: Reis Paşa,Attilâ İlhan,Türkiye,Türk Kurtuluş Savaşı 'nın ilk yıllarında Türkiye,Roman,2004,Türkiye İş Bankası Kültür Yayınları,,975-458-426-5,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Allah%27%C4%B1n_S%C3%BCng%C3%BCleri:_Reis_Pa%C5%9Fa
Ali ile Ramazan,Perihan Mağden,Türkiye,,Roman,2010  (özgün) 4 Şubat 2011  (Türkçe),Doğan Kitap,164,978-605-111-48-11,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Ali_ile_Ramazan
Ahlaksızlar,Ümit Oğuztan,Türkiye,,Belgesel,1995,Vizyon yayıncılık,365,975-8016-12-1,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/Ahlaks%C4%B1zlar
47'liler,Füruzan,Türkiye,,Roman,1974,Yapı Kredi Yayınları,465,,,Çağdaş Türk romanları,https://tr.wikipedia.org/wiki/47%27liler
Sefile,Halid Ziya Uşaklıgil,Türkiye,,,,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Sefile
Sağırdere,,,,,,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Sa%C4%9F%C4%B1rdere
Miras (Memduh Şevket Esendal romanı),Memduh Şevket Esendal,,,Roman,1925,Meslek Gazetesi (tefrika),,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Miras_(Memduh_%C5%9Eevket_Esendal_roman%C4%B1)
Kurt Kanunu,Kemal Tahir,Türkiye,İzmir Suikastı 'nın arka planı ve eski İttihatçılar arasındaki iktidar kavgası,Roman,1969,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Kurt_Kanunu
Mai ve Siyah,Halid Ziya Uşaklıgil,Türkiye,,,1897,Özgür Yayınları,328,975-447-143-6,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Mai_ve_Siyah
Körduman,Kemal Tahir,Türkiye,,Roman,1957,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/K%C3%B6rduman
Kırık Hayatlar,Halid Ziya Uşaklıgil,Türkiye,,,1924,,416,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/K%C4%B1r%C4%B1k_Hayatlar
Kalp Ağrısı,Halide Edib Adıvar,,,Roman,1924,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Kalp_A%C4%9Fr%C4%B1s%C4%B1_(roman)
Hep O Şarkı,Yakup Kadri Karaosmanoğlu,Türkiye,,Roman,1956,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Hep_O_%C5%9Eark%C4%B1
Ferdi ve Şürekası,Halit Ziya Uşaklıgil,,,,,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Ferdi_ve_%C5%9E%C3%BCrekas%C4%B1
Felâtun Bey ile Râkım Efendi,Ahmet Mithat Efendi,Osmanlı İmparatorluğu,,Roman,1875,İskele Yayınevi,168,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Fel%C3%A2tun_Bey_ile_R%C3%A2k%C4%B1m_Efendi
Esir Şehrin İnsanları,Kemal Tahir,Türkiye,,Roman,1956,İthaki Yayınları,437,978-975-273-076-2,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Esir_%C5%9Eehrin_%C4%B0nsanlar%C4%B1
Dürdâne Hanım,,,,,,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/D%C3%BCrd%C3%A2ne_Han%C4%B1m
Dünyaya İkinci Geliş yâhut İstanbul'da Neler Olmuş,Ahmed Midhat Efendi,Osmanlı İmparatorluğu,,Roman,1875,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/D%C3%BCnyaya_%C4%B0kinci_Geli%C5%9F_y%C3%A2hut_%C4%B0stanbul%27da_Neler_Olmu%C5%9F
Dudaktan Kalbe,Reşat Nuri Güntekin,,,Roman,,,,9789751026453,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Dudaktan_Kalbe
Damga,Reşat Nuri Güntekin,Türkiye,,Roman,1999 (İlk basımı:1924),İnkılap Kitabevi,143,9789751026729,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Damga_(roman)
Bir Ölünün Defteri,Halid Ziya Uşaklıgil,Türkiye,,,1892,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Bir_%C3%96l%C3%BCn%C3%BCn_Defteri
Ayaşlı ile Kiracıları,Memduh Şevket Esendal,,,Roman,1934,,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Aya%C5%9Fl%C4%B1_ile_Kirac%C4%B1lar%C4%B1
Ateşten Gömlek,Halide Edip Adıvar,,,Roman,Haziran 1922,Özgür Yayınları,,975-447-079-0,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/Ate%C5%9Ften_G%C3%B6mlek
Aşk-ı Memnu,Halid Ziya Uşaklıgil,,,Roman,1901,Alem Matbaası- Ahmed İhsan ve Şürekası (1901) Hilmi Kitabevi,,,,Klasik Türk romanları,https://tr.wikipedia.org/wiki/A%C5%9Fk-%C4%B1_Memnu
